company,venue,zone,booth_no,brand,products,registered
"GAMDIAS Technology Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I1010,"GAMDIAS,HIGH POWER",Computer Case,2026-03
Ganzin Technology Inc.,TaiNEX 2,InnoVEX,S0512,,,2026-03
Garage+,TaiNEX 2,InnoVEX,S0304,,,
Gates Industrial Singapore PTE LTD. Taiwan Branch,TWTC Hall 1,TechXperience,A233b,,,
Gauss Algorithmic,TaiNEX 2,InnoVEX,S0224,,Enterprise Software & SaaS,2026-03
GeIL-Golden Emperor International Ltd.,TaiNEX 1,Components & Advanced Power Tech,I0401a,GeIL,Other Computer Components & Parts,2026-03
Gen Digital,TaiNEX 2,Industrial IoT & Embedded Systems,P0419,"Norton, Avira, Avast","Embedded Products,Antivirus & Security Software,Application Software,Other Computer Software,Gateway,Virtual Private Network (VPN)",
"GENFORE CO.,LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0616,,Laptop Bag,2026-03
Geniatech,TWTC Hall 1,ePaper Pavilion,D0427a,,"Industrial Automatic & Smart Machinery Turnkey Equipment,E-paper Display,Embedded Products,Smart Grids",2026-03
"Gentle Wayeer Electric Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I1302,GN,Lithium & Li-ion Battery,2026-03
GEOMETRIC FUTURE,TaiNEX 2,Consumer Electronic Accessories,Q1115,Geometrice Future,"Computer Case,Computer Power Supply,PC Cooling & Fan,Other Computer Components & Parts,AI Air Cooling / Liquid Cooling System ,AI PC Cooling & Fan",
"Gi Far Technology Co., Ltd.",TWTC Hall 1,Robotics,A0911a,,LCD Display Module,
GIGA-TMS INC.,TaiNEX 2,Intelligent Business Solutions,P0104,"PROMAG,SCANNEL",Card Reader,
"GIGABYTE TECHNOLOGY CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0802,GIGABYTE,"Workstation,Server",
"GIGABYTE TECHNOLOGY CO., LTD.",TaiNEX 1,System Integration Solution,M0520,GIGABYTE,"Laptop Computer,PC Motherboard,Graphics Card",
GIGASTONE Corporation,TaiNEX 2,Storage & Management Solutions,R1325,GIGASTONE,Memory Card,2026-03
GlacialTech Inc.,TaiNEX 2,Consumer Electronic Accessories,Q1233a,"GlacialTech,GlacialPower",PC Cooling & Fan,
"GLOBAL CHIP INDUSTRIAL CO., LIMITED",TaiNEX 2,Storage & Management Solutions,R0301,"Mellanox, SEAGATE, INTEL","Embedded Processor,Industrial Motherboard,Hard Disk Drive (HDD),Solid State Drive (SSD),Graphics Card,Network Adapter / Network Interface Card (NIC),Wi-Fi / ZigBee Dongle & Module ,CPU/GPU/APU",2026-03
Global Lighting Technologies Inc.,TWTC Hall 1,ePaper Pavilion,D0427,,,2026-03
Global Mixed-mode Technology,TWTC Hall 1,ePaper Pavilion,D0219a,,E-book Reader,2026-03
GMI COMPUTING INTERNATIONAL LTD TAIWAN BRANCH,TaiNEX 2,Storage & Management Solutions,R0302,,Server,2026-03
GMORS Japan Corporation,TaiNEX 2,Consumer Electronic Accessories,Q0101,GMORS,"Other Computer Components & Parts,Liquid Cooling System",
Godspeed,TaiNEX 2,InnoVEX,S0209a,,,2026-03
GoEdge.ai Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"GOGOOUT CO., LTD",TaiNEX 2,InnoVEX,S0304,,Logistics and Supply Chain Tech,2026-03
GOLDKEY TECHNOLOGY CORPORATION,TaiNEX 2,Industrial IoT & Embedded Systems,P0514,Neo Forza,"Solid State Drive (SSD),USB Flash Drive,Memory Card,DRAM",
"GOLDSUN Electronics Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0934c,"GOLDTOOL,ifatel",IP Camera,2026-03
GOOD NEWS MEDICAL CO. | LTD.,TaiNEX 2,InnoVEX,S0705,,,2026-03
"Good Way Technology Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0309a,,"Industrial Automatic & Smart Machinery Turnkey Equipment,Other Computer Peripherals,Computer Cables & Connectors,Network Hub",2026-03
Goodfoodeveryday,TaiNEX 2,InnoVEX,S1320,,,2026-03
GoodLinker Co. | Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
Goreal Electric LTD.,TWTC Hall 1,TechXperience,D0607a,Goreal,"Switching Power Supply,AC / DC Adapter",2026-03
Government of Ontario,TaiNEX 1,International,N0526,,"Microcomputer Control System,Embedded Processor,Embedded Products,Industrial Software,Deep Learning Service / Device,IIoT Solution,Electric Vehicle Battery & Charger,VR / AR / MR Applications",
Goyang Industry Promotion Agency,TaiNEX 2,InnoVEX,S0203a,,,2026-03
"Graid Technology, Inc.",TaiNEX 2,Storage & Management Solutions,R0502,,Disk Array / RAID,
Graphen Taiwan Inc.,TWTC Hall 1,Robotics,A1216,,Robot,2026-03
"GREAT RUBBER CO., LTD.",TWTC Hall 1,TechXperience,A1004,,"Handheld Bag & Case,Other Computer Components & Parts",2026-03
"GREAT SUMMIT CO., LTD",TaiNEX 1,Components & Advanced Power Tech,I0025,GS,Lithium & Li-ion Battery,2026-03
GREDMANN TAIWAN LTD,TWTC Hall 1,TechXperience,A1211a,Actnano,,2026-03
Greneta Corp.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"GTA Material Co., Ltd.",TWTC Hall 1,TechXperience,D0627,GTA,Thermal Adhesive & Grease,
"Guangdong Chuntex Elite Electronic Technology Co., LTD",TaiNEX 2,Consumer Electronic Accessories,Q0124,,"LCD Monitor,Touch Screen Monitor & Panel,Graphics Tablet,Other Computer Peripherals,Computer Rack",2026-03
"Guangdong Oshid Precision Intelligent Manufacturing Technology Co., Ltd.",TaiNEX 1,Gaming,L1306,OSHID,Keycap,2026-03
"GUANGDONG SOHOO TECHNOLOGY CO.,LTD",TaiNEX 1,Components & Advanced Power Tech,I1002,,"Computer Case,Computer Power Supply,PC Cooling & Fan",
"Guangdong Tiantong Jiuheng Technology Co., Ltd.",TaiNEX 2,InnoVEX,S1312,,"5G & Communication,Edge AI",
"GuangDong TPIPLASTIC Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0929,,"Plug,AC / DC Adapter,Head & Bluetooth Earphone,PC Cooling & Fan,PC Keyboard,Mouse,Other Computer Peripherals",2026-03
"Guangdong Unipoe IOT Technology Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0331a,,Network Switch,
Guanghua co ltd,TaiNEX 1,Components & Advanced Power Tech,I0022,,,2026-03
"Guangzhou Dingchang Electronic Technology Co., Ltd. Shenzhen Branch",TaiNEX 2,InnoVEX,S0303a,,"5G & Communication,AGI (Artificial General Intelligence)",
"Guangzhou HAVIT Technology Co., Ltd.",TaiNEX 1,Gaming,L1229a,,"Projector,Head & Bluetooth Earphone,Bluetooth & Wi-Fi Wireless Speaker,Power Bank,Handheld Charger,Gaming Mouse ,Gaming Keyboard ,Gaming Headphone & Headset & Microphone",2026-03
"Guangzhou Heshi Office Equipment Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P1307,,Mobile POS,2026-03
"Guangzhou Jnp Enterprise Management Consulting Co.,Ltd.",TaiNEX 1,International,N0003,,"Computer Case,Other Computer Components & Parts",2026-03
"Guangzhou Juchuang Electronic Technology Co., Ltd",TaiNEX 2,InnoVEX,S0904,,"Circular Economy & GreenTech,Edge AI",
"Guangzhou Ruixaming Electronics Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0834c,,"Computer Case,PC Cooling & Fan",2026-03
"GUANGZHOU SYBLE CO.,LTD",TaiNEX 2,Intelligent Business Solutions,P0107,SYBLE,"IOT Sensor Device,Mobile POS",2026-03
"Guangzhou Xianyou Intelligent Technology Co., Ltd",TaiNEX 1,System Integration Solution,L0001,,"Laptop Computer,LCD Monitor",2026-03
"GUANGZHOU ZONERICH BUSINESS MACHINE CO., LTD.",TaiNEX 2,Intelligent Business Solutions,P0703,Zonerich,"POS System,Kiosk,Card Reader",2026-03
"Guchii Technology Co, Ltd.",TaiNEX 2,AI Computing & System Integration Solution,R0431a,,,2026-03
"Gujitech SYSTEM TECHNOLOGY CO., LTD.",TaiNEX 2,Intelligent Business Solutions,P0204,古吉,"POS System,Kiosk,Business Intelligence Service",
"GUS Technology Co.,Ltd",TWTC Hall 1,TechXperience,A0310,,Lithium & Li-ion Battery,
Gwangyang Bay Area Free Economic Zone,TaiNEX 2,InnoVEX,S0203a,,,2026-03
Gyeonggi Free Economic Zone,TaiNEX 2,InnoVEX,S0203a,,,2026-03
"H.P.B. Optoelectronics Co., LTD.",TaiNEX 1,Smart Mobility and Drone Tech,N0022,,ADAS (Advanced Driver Assistance System),
HANESAWA TECHNOLOGY CORPORATION,TWTC Hall 1,TechXperience,D0621a,"MOZA,MOZA",Interactive Entertainment/ Immersive Experience/ Somatosensory Technology,
"HANGZHOU ZKONG NETWORKS CO., LTD",TWTC Hall 1,ePaper Pavilion,D0421,,E-paper Display,2026-03
Hanmi Micronics,TaiNEX 1,International,N0507a,Wizmax,"Switching Power Supply,Computer Case,PC Keyboard",2026-03
HANMI Semiconductor,TaiNEX 1,System Integration Solution,M1229,HANMI Semiconductor,"DRAM,Generative AI / LLM",
Hanomi,TaiNEX 2,InnoVEX,S0304,,,2026-03
"Hanshow Technology Co., LTD.",TWTC Hall 1,ePaper Pavilion,D0417a,,Others,2026-03
HAOSHi Accelerator,TaiNEX 2,InnoVEX,S1320,,,2026-03
"HAPPY FINGER CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0718,,PC Keyboard,2026-03
"HDMI Licensing Administrator, Inc.",TaiNEX 1,International,N1323,,HDMI,
HEAL TECH,TaiNEX 2,InnoVEX,S0923,,,2026-03
Health League CO. | LTD,TaiNEX 2,InnoVEX,S0504,,Digital Health,2026-03
Health League CO. | LTD,TaiNEX 2,InnoVEX,S0304,,Digital Health,2026-03
"HEART TECH ENTERPRISE CO., LTD",TWTC Hall 1,TechXperience,A0133a,,Card Reader,2026-03
HEARTBOT AI Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
HEMMING CORPORATION,TWTC Hall 1,TechXperience,A0204,"NORD-LOCK,CAPLUGS",Other Computer Components & Parts,2026-03
HENA GROUP COMPANY LIMITED,TaiNEX 1,International,N1330,,"Tablet PC,Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer",
"HENEX (GUANGZHOU) TECHNOLOGY CO., LTD",TaiNEX 2,Intelligent Business Solutions,P0401b,HENEX,"Bar Code Scanner,Bar Code & QR Code System",
Heng Yu Electronic Manufacturing Company Limited,TaiNEX 2,Intelligent Business Solutions,P1002c,"Heng Yu,Double Shell","Industrial Computer,Kiosk,Card Reader,Gaming Keyboard ,Gaming Mouse ,Point of Sales PC ,POS Accessories",2026-03
Henghao Technology Co.,TWTC Hall 1,TechXperience,A0316,,Touch Screen Monitor & Panel,2026-03
Heping Island Geopark,TaiNEX 2,InnoVEX,S0705,,,2026-03
Hepzibah AI,TaiNEX 1,International,N0526,,"IC Design, Packaging & Foundry,CPU/GPU/APU ,Generative AI / LLM",2026-03
"Hetone Enterprise Co., Ltd.",TaiNEX 1,AI Computing & Tech,K0203a,Jeffcool,,2026-03
Hewatek SRL,TaiNEX 2,InnoVEX,S1008,,,2026-03
"HEXAGON METROLOGY VISION CO.,LTD.",TaiNEX 1,Components & Advanced Power Tech,I1207a,,Computer Case,2026-03
"Hi-Power solution Co., LTD.",TaiNEX 1,AI Computing & Tech,K0403,,"Data Capturing & Identification,Deep Learning Service / Device,Image Recognition Service / Device,CCTV Camera",
Highgrade Tech Co Ltd,TWTC Hall 1,TechXperience,D0716,,Workstation,
"Himax Technologies, Ltd.",TWTC Hall 1,ePaper Pavilion,D0235,,"IC Design, Packaging & Foundry",
"HIP GLOBAL CO., LTD.",TaiNEX 2,InnoVEX,S1004,,IoT & Vertical Applications,2026-03
HITPOINT INC.,TaiNEX 1,Components & Advanced Power Tech,I1301a,,Piezoelectric Material,2026-03
HIWIN TECHNOLOGIES CORP.,TWTC Hall 1,TechXperience,D0708,,"Industrial Automatic & Smart Machinery Turnkey Equipment,Other Industrial Automatic Equipment & Smart Machinery,Speed Reducer,Servo Motor,Linear Actuator",
"Hiyatek International Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1224,HIYATEK,"PC Cooling & Fan,Other Computer Peripherals",2026-03
HKC CORPORATION LIMITED,TaiNEX 1,International,N0126,HKC,"Computer Case,Computer Power Supply,LCD Monitor",2026-03
HKC Corporation Limited,TWTC Hall 1,ePaper Pavilion,D0317a,,E-paper Display,2026-03
HOFFMAN SCHROFF PTE LTD,TaiNEX 1,International,N0122,nVent,"Liquid Cooling System,AI Air Cooling / Liquid Cooling System",
HOGE STORAGE TECHNOLOGY (HONG KONG) COMPANY LIMITED,TaiNEX 2,Storage & Management Solutions,R1302,,"Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,DRAM",
Holon Robotics,TaiNEX 2,InnoVEX,S0323a,,,2026-03
HOME MEDIA GROUP LTD. CITE BRANCH,TWTC Hall 1,Media,A0119,Micro-Electronics Magazine,Media,2026-03
HOMEE AI Technology Inc.,TaiNEX 2,InnoVEX,S0110,,,2026-03
"Hon Hai Precision Industry Co., Ltd",TaiNEX 1,System Integration Solution,M0120,,,2026-03
HoneyBear Biosciences | Inc.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
"HONG SHUO TECHNOLGY CO., LTD",TaiNEX 1,Components & Advanced Power Tech,J1201,優樂NETTEC,"Other Mobile Phone & Tablet PC Accessories,Computer Case,Other Computer Components & Parts",2026-03
"HONGKONG CHASE-ONE INFORMATION CO., LIMITED",TaiNEX 1,System Integration Solution,L0011,,"Mini PC Barebone,All-In-One & Desktop Computer,PC Motherboard",2026-03
HONGLI FUXING CORP.,TaiNEX 1,Components & Advanced Power Tech,I0317,MicroPack,Computer Case,2026-03
"Hosin Global Electronics Co.,Ltd",TaiNEX 2,Storage & Management Solutions,R1320a,"宏芯宇,HosinGlobal","IC Design, Packaging & Foundry,Solid State Drive (SSD),USB Flash Drive,Memory Card,DRAM",
HOYE,TaiNEX 2,InnoVEX,S0209a,,,2026-03
Hoyutec International Co. Ltd.,TaiNEX 1,Advanced Communication & Networking,K1329a,,Other Networking,2026-03
"HPRT TECHNOLOGY CO , , LTD.",TaiNEX 2,Intelligent Business Solutions,P1309,HPRT,,2026-03
"HSING CHAU INDUSTRIAL CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0729,,Other Networking,2026-03
"Hsun Wealth Technology Technology Co., Ltd.",TaiNEX 1,System Integration Solution,L0010,"TE NINJA,SSS(SENDA SMART SELECTION)",Other,2026-03
"Huazhun Tech Co.,LTD.",TaiNEX 2,Consumer Electronic Accessories,P0229,,PC Cooling & Fan,
"HUIJIA HEALTH LIFE TECHNOLOGY CO., LTD.",TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Automobile Sensor,2026-03
"Huilian cloud technology (Shenzhen) Co., Ltd",TaiNEX 1,International,N0027,HVLANYN,"Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer",2026-03
"Huizhou Jiadalong Electronic Technology Co. , Ltd",TaiNEX 1,Gaming,L1301,GATERON,"PC Keyboard,Mouse",2026-03
"Huizhou Jiuzi Electronic Technology Co.,Ltd",TaiNEX 2,Consumer Electronic Accessories,P0325a,Jiuzi Electronic,"Gaming Accessories,Gaming Keyboard ,Esports",
"Huizhou Shunxinjie Electronic Technology Co., Ltd.",TaiNEX 1,Gaming,L1101a,SUNXI,"Switching Power Supply,Computer Case,PC Cooling & Fan",2026-03
"Huizhou SmartByte Technology Co.,Ltd",TaiNEX 1,Advanced Communication & Networking,K0009,,"Fiber Media Converter,Network Switch",2026-03
"Huizhou Trantek Electronics Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1034c,TTC,"Game Controller & Joystick,Gaming Keyboard ,Gaming Mouse",2026-03
Human-Robot Interaction Solutions Pavilion,TWTC Hall 1,Robotics,A0509a,"Nuwa Robotics,Vyin AI",Human Machine Interface (HMI),
"Hunan Dlsum Technology Co., Ltd",TaiNEX 2,Intelligent Business Solutions,P1101c,DLSUM,"All-In-One & Desktop Computer,Industrial Computer,POS System,Point of Sales PC ,POS Accessories",2026-03
HUNAN FULLRIVER INFORMATION TECHNOLOGY CO.，LTD,TaiNEX 1,Advanced Communication & Networking,K1227a,,"Router,Network Switch,5G/5G-A/6G Related Products",2026-03
HUNT ELECTRONIC CO. | LTD.,TaiNEX 2,InnoVEX,S0705,,,2026-03
HuntByte Tech Co. Ltd.,TaiNEX 2,InnoVEX,S1208,,,2026-03
Hydra Host,TaiNEX 1,Gaming,L0022,"NVIDIA, DELL, HPE","Server,KVM Cable & Switch,AI Switching Power Supply ,CPU/GPU/APU ,AI Server,Data Center (DC) / Cloud Service Provider (CSP)",
"Hyper Solutions Co., LTD",TaiNEX 2,InnoVEX,S0725,,"Pressure Sensor,Embedded Products,Human Machine Interface (HMI),Interactive Entertainment/ Immersive Experience/ Somatosensory Technology ,VR/AR/MR Glasses,Gaming Headphone & Headset & Microphone,Esports",
HYPERDATA,TaiNEX 2,InnoVEX,S0311a,HYPERDATA,,2026-03
"i-Money Technology Co.,Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0433b,iEcoNano,"Memory Card,PC Keyboard,Mouse",2026-03
"i-Rocks Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0405a,i-Rocks,PC Keyboard,2026-03
"I.M TECHNOLOGY CO., LTD.",TWTC Hall 1,TechXperience,A1323a,I.M Tech,Heat Sink & Pipe,2026-03
IBASE Technology Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0526,IBASE,"Industrial Computer,Embedded Products,Industrial Motherboard,Other Networking",
iBoost Technology Limited Co.,TaiNEX 2,Consumer Electronic Accessories,Q1002,Storage+,,
"IC Nexus Co., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P0219a,,Industrial Computer,
IC TAIWAN GRAND CHALLENGE Pavilion,TaiNEX 2,InnoVEX,S0724,,,2026-03
"ICP DAS CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K1121a,ICP DAS,Gateway,
"IDEAL POWER CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1119,IDEAL,"Uninterruptible Power Supply (UPS),Switching Power Supply,AC / DC Adapter,Power Converter,Other Computer Peripherals",
IEI Integration Corp.,TWTC Hall 1,Robotics,A0618,,,2026-03
IEI Integration Corp.,TaiNEX 2,Industrial IoT & Embedded Systems,P0114,,"E-paper Display,Industrial Computer,Other Networking,IIoT Solution",
"IKEHARA CO., LTD.",TWTC Hall 1,TechXperience,D0828,"FILSTAR,COMPOROIDR",,2026-03
ILI TECHNOLOGY CORP.,TWTC Hall 1,ePaper Pavilion,D0126,,E-paper Display,2026-03
Illumia Labs,TaiNEX 2,InnoVEX,S0506,,,2026-03
Imagination Broadway Ltd.,TaiNEX 2,Industrial IoT & Embedded Systems,Q0802,iBLab,"Embedded Products,iBW – Touch Under Flowing Water,iBF — Force Touch Interaction,iBG – Touchless Air Gesture Control Solution,iBH – Haptic Touch Feedback",
IMOnline Technologies Inc.,TaiNEX 2,InnoVEX,S0506,,other,2026-03
IMOTEK Inc.,TaiNEX 2,InnoVEX,S0923,,,2026-03
IMU Inc.,TaiNEX 2,Intelligent Business Solutions,P0701a,IMU,POS System,2026-03
In Win Development Inc.,TaiNEX 1,Components & Advanced Power Tech,I0607,"InWin,Power Man","Workstation,Server,Industrial Computer,Computer Case,Computer Power Supply,PC Cooling & Fan",2026-03
Industrial Development Administration |Ministry of Economic Affairs,TaiNEX 2,InnoVEX,S0512,,,2026-03
Infiniflux Ltd,TaiNEX 2,InnoVEX,S0724,,,2026-03
INFINITIX Inc.,TaiNEX 2,Storage & Management Solutions,R0113,"INFINITIX,AI-Stack",Server,
"Infortrend Technology, Inc.",TaiNEX 1,AI Computing & Tech,J0306,Infortrend,"Networking Storage,Cloud Computing & IT Services",
"Ingamar Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1403,Ingamar,Computer Lock,2026-03
"Ink Cubic Optronics Technology Co., Ltd.",TWTC Hall 1,ePaper Pavilion,D0225,,E-paper Display,2026-03
"Inner Resource, Inc.",TaiNEX 2,InnoVEX,S1013,,,2026-03
INNO3D,TaiNEX 1,International,N0425a,"INNO3D,iCHILL","Graphics Card,AI Server",
"InnoChain Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1308a,,"Other Computer Peripherals,Computer Cables & Connectors,KVM Cable & Switch,USB Adapter, Cable & Hub",2026-03
Innodisk Corporation,TaiNEX 1,AI Computing & Tech,K0106,"Innodisk,Aetina","Embedded Products,Solid State Drive (SSD)",
InnoGrit Corporation,TaiNEX 2,Storage & Management Solutions,R1305,,"IC Design, Packaging & Foundry,Server,Solid State Drive (SSD),Disk Enclosure",2026-03
INNOVATECH SRL,TaiNEX 2,InnoVEX,S1008,,,2026-03
"Integrated Solutions Technology,Inc.",TWTC Hall 1,ePaper Pavilion,D0130,,E-paper Display,2026-03
Intelligent Healthcare Program,TaiNEX 2,InnoVEX,S1213,,Other,
Intelligent Information Security Technology Inc.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
INTELLIGENT TRAVEL APPLICATION INC.,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Interwin Technology Co., LTD.",TaiNEX 1,Components & Advanced Power Tech,J0202,"InterWin,SANR 三仁電子","Switching Power Supply,PC Keyboard,Mouse",2026-03
Intopic International Co Ltd,TaiNEX 2,Consumer Electronic Accessories,Q1302a,"INTOPIC,FOXXRAY",Headset,2026-03
Intralink,TaiNEX 2,InnoVEX,S0409a,,,2026-03
Inventec Corporation,TaiNEX 2,AI Computing & System Integration Solution,R0313a,,,2026-03
Investment NSW (Australia),TaiNEX 2,InnoVEX,S1217,,Other,2026-03
IONE INNOVATION INC. Taiwan Branch,TaiNEX 2,Consumer Electronic Accessories,Q0817,IONE,"PC Keyboard,Mouse",
IPEVO Corp.,TaiNEX 2,Consumer Electronic Accessories,Q1407,IPEVO,"Bluetooth & Wi-Fi Wireless Speaker,Mobile App",2026-03
"Iqmore International Co., Ltd.",TaiNEX 1,Gaming,L1325,"Varmilo,Domikey,iqmore,Hardcap、星光,MarsRhino","Game Controller & Joystick,PC Keyboard,Bluetooth Keyboard & Mouse,Other Computer Peripherals",2026-03
IQUNIX,TaiNEX 1,System Integration Solution,M1107a,IQUNIX,"Computer Case,Gaming Keyboard ,Gaming Mouse",2026-03
IrisGo,TaiNEX 2,InnoVEX,S0114,,,2026-03
Irreversible Inc.,TaiNEX 2,InnoVEX,S0506,,,2026-03
Israel Innovation Pavilion,TaiNEX 2,InnoVEX,S0905,,Other,
Italian Trade Agency Taipei Office,TaiNEX 2,InnoVEX,S1008,,,2026-03
ITEN,TaiNEX 2,InnoVEX,S1216,ITEN,Solid State Ceramic Devices,
J-MEX Inc.,TWTC Hall 1,Robotics,A0604,"MOXI,BikeSpark","Automated & Industrial Controller Module,Industrial Automatic & Smart Machinery Turnkey Equipment",
"J-POWER INTERNATIONAL CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1030,J-POWER,PC Keyboard,2026-03
Japan Media Corporation,TaiNEX 2,Industrial IoT & Embedded Systems,P1325,"mmRat, mmBio",Pest control and health sensing products using millimeter wave radar,
"JCON Technology Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0021,,Electrical Connectors,2026-03
"Jentech Precision Industrial CO., LTD",TaiNEX 1,AI Computing & Tech,J0118,,"Socket,Heat Sink & Pipe",
"JET ONE TECHNOLOGY CO., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P0714,"Supermicro,ASRock Industrial,Quectel",Embedded Products,2026-03
"Jetway Information Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0313a,JETWAY,Industrial Computer,2026-03
JI CHUANG TECH INC.,TaiNEX 1,Components & Advanced Power Tech,I0802,,"Computer Case,Computer Power Supply",2026-03
"Jiangmen Hengji Crafts Technology Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,P1330a,,"Other Computer Peripherals,Mouse Pad & Wrist Rest",2026-03
"Jiangsu Bravo View Electronic Technology Co.,LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P0626,,"All-In-One & Desktop Computer,Computer Terminal,LCD Monitor",2026-03
"Jiangsu Enmane Electronics Industry Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K0930,ENMANE,"Other Networking,Communication Board,Optical Fiber,Communication Cable",
Jiangxi Xingtai Technology Inc.,TWTC Hall 1,ePaper Pavilion,D0411a,,E-paper Display,2026-03
Jimpower Trading Limited,TaiNEX 2,Storage & Management Solutions,R0007,"SanDisk,Samsung,Lexar","Hard Disk Drive (HDD),Solid State Drive (SSD),USB Flash Drive,Memory Card,Other Drives, Storage & Blank Media,CPU/GPU/APU ,Gaming MicroSD、SDXC,OTG Adapter / Hub / Flash Drive",
"Jin Tay Industries Co., Ltd.",TWTC Hall 1,TechXperience,A0215,JTIC,Computer Lock,2026-03
"Jing Cheng Electronics Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0419a,,Embedded Products,2026-03
"JING JHAN PRECISION TECH CO.,LTD",TWTC Hall 1,TechXperience,A0403,,,2026-03
"Join It Sustainable Tech. Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,"Join It Sustainable Tech. Co., Ltd.",,2026-03
JOSEFINA PAN PACIFIC LTD,TaiNEX 1,Smart Mobility and Drone Tech,N0017,,Air Drone,
JPC connectivity,TaiNEX 1,AI Computing & Tech,J0410,,Computer Cables & Connectors,2026-03
JS Automation Corp.,TaiNEX 2,Industrial IoT & Embedded Systems,P0929,JAC,"Automated & Industrial Controller Module,Embedded Products,Other Add-On & Interface Cards",2026-03
JustXtar,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,,2026-03
"JWIPC Technology Co.,Ltd.",TaiNEX 1,AI Computing & Tech,J0531,JWIPC,"Workstation,Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer,Industrial Computer,PC Motherboard,Computer Terminal,Edge Computing",
JXense Solutions INC.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"Jye Wang Enterprise Co.,Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0209a,"B.FRiEND,POWZAN",PC Keyboard,2026-03
"JYH ENG TECHNOLOGY CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K1315,,"Other Networking,Optical Fiber",
K-Best Technology Inc.,TaiNEX 1,Advanced Communication & Networking,K1415,"K-Best,Super TaiRa","Other Networking,Two-way Radio Parts,Microwave Communication Equipment,Power Amplifier (PA),Radio Frequency Front End Module (RF FEM),Air Drone",
KAI XIANG Technology Limited Company,TaiNEX 1,Components & Advanced Power Tech,I1318,CRYORIG,PC Cooling & Fan,2026-03
KaiJet Technology International Corporation,TWTC Hall 1,TechXperience,A333b,j5create,"Video Camera,Interactive Entertainment/ Immersive Experience/ Somatosensory Technology",
"Kang Yang Hardware Enterprises Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0015,KY,"Other Computer Components & Parts,Other Computer Peripherals",2026-03
"Kaori Thermal Technology Co., Ltd.",TaiNEX 2,AI Computing & System Integration Solution,R0227a,,,2026-03
Kapnetix,TaiNEX 2,InnoVEX,S0224,,,2026-03
Kardome Technology LTD.,TaiNEX 2,InnoVEX,S0905,,,2026-03
Kato Light Metal Industry,TaiNEX 2,InnoVEX,S0118,,,2026-03
Keelung City Government Department of Economic Affairs,TaiNEX 2,InnoVEX,S0705,,,2026-03
KENTEC INC.,TaiNEX 1,AI Computing & Tech,J0406,,,2026-03
"KEYENCE TAIWAN CO., LTD.",TaiNEX 1,Smart Mobility and Drone Tech,N0018,,Other Automobile Electronics,2026-03
